/OUT1 X,/OUT1 Y,/OUT2 X,/OUT2 Y,/OUT0 X,/OUT0 Y,/OUT2' X,/OUT2' Y,/OUT1' X,/OUT1' Y,/OUT0' X,/OUT0' Y,/I0/VQ X,/I0/VQ Y,/OUT3 X,/OUT3 Y
3.15999999999998e-06,1.645717354660345,3.15999999999998e-06,1.796611361201943,3.15999999999998e-06,0.2181520857991288,3.15999999999998e-06,0.002525710051092627,3.15999999999998e-06,1.256915819846648,3.15999999999998e-06,1.597438684148736,3.15999999999998e-06,1.142113905955719,3.15999999999998e-06,0.0004730570997138788
3.16999999999998e-06,1.67134582917556,3.16999999999998e-06,-0.001520076364405747,3.16999999999998e-06,0.2378721432385924,3.16999999999998e-06,1.796084594385259,3.16999999999998e-06,1.272310543573927,3.16999999999998e-06,1.576338036925369,3.16999999999998e-06,1.141939569491616,3.16999999999998e-06,1.72577752691315
3.17999999999998e-06,1.654483325686986,3.17999999999998e-06,1.797095059240417,3.17999999999998e-06,0.2492091903172292,3.17999999999998e-06,0.001426520405247957,3.17999999999998e-06,1.223285154535111,3.17999999999998e-06,1.561545831337416,3.17999999999998e-06,1.142130987717126,3.17999999999998e-06,1.799493499793465
3.18999999999998e-06,1.678765257054415,3.18999999999998e-06,-0.0012624474745241,3.18999999999998e-06,0.2680141837464857,3.18999999999998e-06,1.795414962885904,3.18999999999998e-06,1.238117843374724,3.18999999999998e-06,1.545224848567602,3.18999999999998e-06,1.142095417727879,3.18999999999998e-06,0.003268964263214506
3.19999999999998e-06,1.661563687591246,3.19999999999998e-06,1.797705676780228,3.19999999999998e-06,0.2855989101520088,3.19999999999998e-06,0.002248060689528676,3.19999999999998e-06,1.193570799803437,3.19999999999998e-06,1.527376181331369,3.19999999999998e-06,1.142058717163039,3.19999999999998e-06,0.0005485536972754868
3.209999999999979e-06,1.68472830219851,3.209999999999979e-06,-0.001104195811169976,3.209999999999979e-06,0.3057700475475186,3.209999999999979e-06,1.796649557673127,3.209999999999979e-06,1.210781735922996,3.209999999999979e-06,1.505699027120772,3.209999999999979e-06,1.141884499205512,3.209999999999979e-06,1.732035139372419
3.219999999999979e-06,1.669408892344598,3.219999999999979e-06,1.798060487095324,3.219999999999979e-06,0.3178721996608436,3.219999999999979e-06,0.001247380138889593,3.219999999999979e-06,1.160410336441532,3.219999999999979e-06,1.490385395244588,3.219999999999979e-06,1.142068297432668,3.219999999999979e-06,1.799489475057237
3.229999999999979e-06,1.691331674986676,3.229999999999979e-06,-0.0008263093975536689,3.229999999999979e-06,0.3379064502878839,3.229999999999979e-06,1.796050633212368,3.229999999999979e-06,1.177882496815433,3.229999999999979e-06,1.472128113031405,3.229999999999979e-06,1.14203238446077,3.229999999999979e-06,0.002912894056248719
3.239999999999979e-06,1.675934784161985,3.239999999999979e-06,1.798635615502894,3.239999999999979e-06,0.3571011321240977,3.239999999999979e-06,0.001947407229971525,3.239999999999979e-06,1.130426237781805,3.239999999999979e-06,1.452790486988778,3.239999999999979e-06,1.141996375587913,3.239999999999979e-06,0.0005565815994195879
3.249999999999979e-06,1.69681472020597,3.249999999999979e-06,-0.0006809959879642809,3.249999999999979e-06,0.3755361248592205,3.249999999999979e-06,1.797140039049502,3.249999999999979e-06,1.151224753577954,3.249999999999979e-06,1.432232112108636,3.249999999999979e-06,1.141822317903364,3.249999999999979e-06,1.738461160095288
